"","X","price","speed","hd","ram","screen","cd","multi","premium","ads","trend"
"1",1,1499,25,80,4,14,"no","no","yes",94,1
"2",2,1795,33,85,2,14,"no","no","yes",94,1
"3",3,1595,25,170,4,15,"no","no","yes",94,1
"4",4,1849,25,170,8,14,"no","no","no",94,1
"5",5,3295,33,340,16,14,"no","no","yes",94,1
"6",6,3695,66,340,16,14,"no","no","yes",94,1
"7",7,1720,25,170,4,14,"yes","no","yes",94,1
"8",8,1995,50,85,2,14,"no","no","yes",94,1
"9",9,2225,50,210,8,14,"no","no","yes",94,1
"10",10,2575,50,210,4,15,"no","no","yes",94,1
"11",11,2195,33,170,8,15,"no","no","yes",94,1
"12",12,2605,66,210,8,14,"no","no","yes",94,1
"13",13,2045,50,130,4,14,"no","no","yes",94,1
"14",14,2295,25,245,8,14,"no","no","yes",94,1
"15",15,2699,50,212,8,14,"no","no","yes",94,1
"16",16,2225,50,130,4,14,"no","no","yes",94,1
"17",17,1595,33,85,2,14,"no","no","yes",94,1
"18",18,2325,33,210,4,15,"no","no","yes",94,1
"19",19,2095,33,250,4,15,"no","no","yes",94,1
"20",20,4395,66,452,8,14,"no","no","yes",94,1
"21",21,1695,33,130,4,14,"no","no","yes",94,1
"22",22,2795,66,130,4,14,"no","no","yes",94,1
"23",23,2895,25,340,16,14,"no","no","yes",94,1
"24",24,2875,50,210,4,17,"no","no","yes",94,1
"25",25,4195,50,452,8,14,"no","no","yes",94,1
"26",26,1290,33,80,2,14,"no","no","yes",94,1
"27",27,1975,33,130,4,14,"no","no","yes",94,1
"28",28,3995,33,452,8,14,"no","no","yes",94,1
"29",29,3095,33,340,16,14,"no","no","yes",94,1
"30",30,3244,66,245,8,14,"no","no","yes",94,1
"31",31,1920,33,170,4,14,"yes","no","yes",94,1
"32",32,1995,25,130,4,14,"no","no","yes",94,1
"33",33,2595,33,210,8,17,"no","no","yes",94,1
"34",34,2475,50,210,4,15,"no","no","yes",94,1
"35",35,1999,33,170,4,14,"no","no","yes",94,1
"36",36,2675,66,210,4,15,"no","no","yes",94,1
"37",37,2325,66,210,8,14,"no","no","yes",94,1
"38",38,3795,66,500,8,14,"no","no","yes",94,1
"39",39,2405,50,210,8,14,"no","no","yes",94,1
"40",40,2425,50,210,8,14,"no","no","yes",94,1
"41",41,2895,50,245,8,14,"no","no","yes",94,1
"42",42,3895,66,500,8,15,"no","no","yes",94,1
"43",43,2499,33,212,8,14,"no","no","yes",94,1
"44",44,2255,33,210,8,14,"no","no","yes",94,1
"45",45,3495,50,340,16,14,"no","no","yes",94,1
