"id","city","class","review_count","categories"
"2","Toronto",0,12,"Italian"
"4","Toronto",0,39,"Pub"
"6","Toronto",1,3,"Coffee or Sandwiches"
"8","Toronto",1,55,"Middle Eastern"
"10","Markham",0,80,"Asian"
"12","Toronto",0,5,"Asian"
"14","Toronto",0,6,"Asian"
"16","Toronto",0,6,"North American"
"18","Toronto",0,34,"Middle Eastern"
"20","Markham",1,8,"Fast Food"
"22","Toronto",1,7,"Asian"
"24","Toronto",0,29,"Fast Food"
"26","Missisauga",1,43,"Coffee or Sandwiches"
"28","Toronto",0,165,"Asian"
"30","Toronto",1,363,"Pub"
"32","Toronto",1,162,"Asian"
"34","Missisauga",1,22,"Other"
"36","Missisauga",0,4,"Middle Eastern"
"38","Toronto",0,32,"Asian"
"40","Missisauga",1,8,"Asian"
"42","Toronto",0,4,"Fast Food"
"44","Markham",0,5,"Other"
"46","Toronto",0,17,"Fast Food"
"48","Missisauga",0,6,"Fast Food"
"50","Toronto",0,18,"Italian"
"52","Toronto",1,11,"Other"
"54","Missisauga",0,3,"Fast Food"
"56","Toronto",1,92,"Asian"
"58","Markham",0,55,"Middle Eastern"
"60","Markham",0,34,"Asian"
"62","Toronto",1,5,"Fast Food"
"64","Toronto",0,3,"Fast Food"
"66","Toronto",0,3,"Fast Food"
"68","Missisauga",0,58,"Other"
"70","Markham",0,34,"Asian"
"72","Toronto",0,13,"Asian"
"74","Toronto",1,30,"Asian"
"76","Toronto",1,138,"Coffee or Sandwiches"
"78","Missisauga",0,14,"Asian"
"80","Toronto",1,34,"Coffee or Sandwiches"
"82","Toronto",1,6,"Asian"
"84","Toronto",1,6,"Other"
"86","Toronto",1,11,"Asian"
"88","Toronto",1,3,"Other"
"90","Toronto",0,13,"Fast Food"
"92","Markham",0,36,"Asian"
"94","Toronto",1,7,"Latin"
"96","Missisauga",0,4,"Fast Food"
"98","Toronto",1,53,"North American"
"100","Missisauga",0,3,"Fast Food"
"102","Missisauga",0,105,"North American"
